polski;portugalski;angielski;group
pomarańcza;a laranja;orange;food
kanapka;o sanduíche;sandwich;food
ryż;o arroz;rice;food
sól;o sal;salt;food
przekąska;o lanche;snack;food
zupa;a sopa;soup;food
sałata|mieszanina;a salada;salad;food
kanapka z rybą;o sanduiche de peixe;fish sandwich;food
talerz sałaty;o prato de salada;plate of salad;food
Nie ma soli;Não tem sal;There is no salt;food
przepis na ciasto;a receita de bolo;cake recipe;food
truskawka;o morango;strawberry;food
herbata;a chá;tea;food
łyżka;a colher;spoon;food
smak|przyjemność;o gosto;taste|pleasure;food
stek;o bife;steak;food
cukier;o açúcar;sugar;food
warzywo;o vegetal;vegetable;food
oliwa z oliwek;o azeite;olive oil;food
menu;o menu;menu;food
wegetarianin;o vegetariano;vegetarian;food
wegetariański;vegetariano;vegetarian;food
pomidor;o tomate;tomato;food
z przyjemnością;com gosto;with pleasure;food
Kawa nie ma smaku;O café não tem gosto de nada;Coffee does not have any taste;food
Jak masz na imię?;Qual é o seu nome?;What is your name?;phrases
pszczoła;a abelha;bee;animals
mrówka;a formiga;ant;animals
ptak;o pásaro;bird;animals
zwierzę;o animal;animal;animals
kot;o gato;cat;animals
koń;o cavalo;horse;animals
motyl;a borboleta;butterfly;animals
krowa;a vaca;cow;animals
pies;o cachorro;dog;animals
małpa;o macaco;monkey;animals
kaczka;o pato;duck;animals
rekin;o tubarão;shark;animals
słoń;o elefante;elephant;animals
farma;a fazenda;farm;animals
pająk;a aranha;spider;animals
żółw;a tartaruga;turtle;animals
wąż;a cobra;snake;animals
mysz;o rato;mouse;animals
lew;o leão;lion;animals
wilk;o lobo;wolf;animals
tygrys;o tigre;tiger;animals
zbierać;cobrar;to collect;verbs
List jest moj;A carta é minha;The letter is mine;possessives
bluza;a blusa;blouse;clothes
godzina|czas;a hora;time;basics
muł;a mula;mule;animals
ukłuć;picar;to sting;verbs
plyta;a ficha;record;idioms
egzamin|test;a prova;exam|test;idioms
usta;a boca;lips;idioms
skręcić;virar;to turn;verbs
tam;lá;there;basics
ojciec;o pai;father;basics
szubienica;a forca;gallows;idioms
biznes|interes;o negócio;business|deal;idioms
mały;baixo;small;idioms
tkanina;o pano;cloth;idioms
stawać|deptać;pisar;to tread|to trample;verbs
piłka;a bola;ball;idioms
uratowany;salvo;saved;idioms
przez;pelo;by;basics
dzwonek|gong;o gongo;bell|gong;idioms
kto;quem;who;idioms
ryzykować;arriscar;to risk;idioms
podjadać;petiscar;to have a snack;idioms
rozwiązanie;a solução;solution;idioms
magiczny;mágico;magic;idioms
nauczyciel;o professor;teacher;idioms
uderzać;bater;to hit;idioms
but;a bota;boot;idioms
bardziej;mais;more;idioms
zagubiony;perdido;lost;idioms
ślepy;cego;blind;idioms
strzelanina;o tiroteio;shoot-out;idioms
zgodny;conforme;according to;idioms
muzyka;a música;music;idioms
każdy;cada;each;idioms
gałąź;o galho;branch;idioms
potrzebować|musieć;precisar;to need|to have to;verbs
rachunek|konto;a conta;bill|account;idioms
zło;o mal;evil;idioms
korzeń;a raiz;root;idioms
tylko;só;only;idioms
kłamstwo;a mentira;lie;idioms
noga;a perna;leg;idioms
krótki;curto;short;idioms
nieszczęście;a desgraça;misfortune;idioms
trochę;pouca;little;idioms
głupstwo;a bobagem;foolishness|baloney;idioms
dyskutować;discutir;to discuss;verbs
grób;o túmulo;grave;idioms
ręka;o mão;hand;idioms
myć;lavar;wash;verbs
inny|następny;outra;other|another;idioms
zabić;matar;kill;verbs
królik;o coelho;rabbit;animals
kamień;a cajadada;stone;idioms
robak;o bicho;worm|bug;animals
biegać;correr;to run;verbs
upaść;cair;to fall;verbs
zgubić|spóźnić się na coś;perder;to lose|to miss;verbs
zgodnie z muzyką;conforme a música;according to the music;idioms
koszula;a camisa;shirt;clothes
spódnica;a saia;skirt;clothes
kapelusz;o chapéu;hat;clothes
odzież;a roupa;clothes;clothes
but;o sapato;shoe;clothes
torebka;a bolsa;bag;clothes
nosić;vestir;to wear;verbs
rękawiczka;a luva;glove;clothes
pasek;o cinto;belt;clothes
peleryna|nakrycie;a capa;cape;clothes
kostium;a fantasia;costume;clothes
spodnie;a calça;pants|trousers;clothes
kieszeń;o bolso;pocket;clothes
dżinsy;o jeans;jeans;clothes
garnitur;o terno;suit;clothes
płaszcz|sweter;o agasalho;coat|sweater;clothes
płaszcz|kurtka;o casaco;coat|jacket;clothes
sandał;a sandália;sandal;clothes
strój;o traje;outfit;clothes
portfel;a carteira;wallet;clothes
skarpeta|pończocha;a meia;sock|stocking;clothes
zegarek;o relógio;watch|clock;clothes
pytanie;a pergunta;question;questions
odpowiedź;a resposta;answer;questions
kiedy;quando;when;questions
co;quê;what;questions
gdzie;onde;where;questions
ile;quanto;how much|how many;questions
który;quais;which;questions
Co ty jesz?;Você come o quê?;What do you eat?;questions
Które jabłka są moje?;Quais são as minhas maçãs?;Which apples are mine?;questions
Ile on ma książek?;Quantos livros ele tem?;How many books does he have?;questions
Czyje jest jabłko?;De quem é a maçã?;Whose is the apple?;questions
Jabłko nie jest jak pomarańcza;Uma maçã não é como uma laranja;One apple is not like one orange;questions
Kim jestem?;Quem sou eu?;Who am i?;questions
kolor;a cor;color|colour;colors
zielony;verde;green;colors
żółty;amarelo;yellow;colors
czerwony;vermelho;red;colors
niebieski;azul;blue;colors
czarny;negro|preto;black;colors
biały;branco;white;colors
wołowina;a carne vermelho;beef;colors
różowy;rosa;pink;colors
kolorowy;colorido;colorful;colors
purpurowy;roxo;purple;colors
brunet;moreno;brunet;colors
odbarwiać|wybielać;discolorir;to discolor|to discolour|to bleach;colors
znajdować|uważać;achar;to find|to think;verbs
dotykać|grać;tocar;to touch|to play;verbs
mylić się;errar;to make a mistake;verbs
pamiętać;lembrar;to remember;verbs
słyszeć;ouvir;to hear;verbs
rozmawiać;conversar;to talk;verbs
wiedzieć;saber;to know;verbs
mówić;dizer;to say;verbs
Oni mówią nie;Eles dizem não;They say no;phrases
myśleć;pensar;to think;verbs
przychodzić;vir;to come;verbs
akceptować;aceitar;to accept;verbs
zostawiać;deixar;to leave;verbs
tona;a tonelada;ton;food
dużo;muito;a lot;food
Ona potrzebuje płaszcza;Ela precisa de um casaco;She needs a coat;phrases
wracać;voltar;to return;verbs
czuć;sentir;to feel;verbs
prasować|rozprzestrzeniać;passar;to iron|to spread;verbs
przybywać;chegar;to arrive;verbs
czekać na;esperar;to wait for;verbs
rozumieć;entender;to understand;verbs
patrzeć;olhar;to look;verbs
pomagać;ajudar;to help;verbs
pracować;trabalhar;to work;verbs
używać|nosić;usar;to use|to wear;verbs
zatrzymać się;parar;to stop;verbs
dookoła;ao redor;around;phrases
Ona się patrzy dookoła;Ela olha ao redor;She looks around;phrases
iść;caminhar|andar;to walk;verbs
wybaczać|przepraszać;desculpar;to forgive|to apologize;verbs
podążać za;seguir;to follow;verbs
otwierać;abrir;to open;verbs
przynosić;trazer;to bring;verbs
zapominać;esquecer;to forget;verbs
pokazać;mostrar;to show;verbs
kochać;amar;to love;verbs
wkładać ubranie;colocar;to put on;verbs
zmieniać;mudar;to change;verbs
utrzymywać|trzymać;manter;to maintain|to keep;verbs
wygrywać;ganhar;to win;verbs
spać;dormir;to sleep;verbs
grać;jogar;to play;verbs
opuszczać;partir;to leave;verbs
płacić;pagar;to pay;verbs
kupować;comprar;to buy;verbs
sprzedawać;vender;to sell;verbs
mierzyć;medir;to measure;verbs
kończyć;terminar;to end|to finish;verbs
decydować;decidir;to decide;verbs
mieszkanie;o apartamento;flat|apartment;basics
lodówka;a geladeira;fridge|refrigerator;food
